school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
北京师范大学,英语,3252.0,3300.0,3133.0,3228.3333333333335,3274.0,3271.0,3228.3333333333335,70.20129786707808
北京师范大学,资源环境科学,3565.0,3300.0,3896.0,3587.0,3774.0,3873.0,3587.0,243.81276969565533
北京师范大学,化学,3565.0,3640.0,4003.0,3736.0,3908.0,3989.0,3736.0,191.26421515798506
北京师范大学,生物科学类（生物科学、生物技术）,3565.0,3300.0,3432.5,3432.5,3509.0,3528.0,3432.5,108.1857969729237
北京师范大学,环境科学（环境科学、环境工程）,3565.0,3640.0,3602.5,3602.5,3679.0,3693.0,3602.5,30.618621784789728
南京师范大学,英语（师范）,6788.0,6969.0,6303.0,6686.666666666667,6558.0,6465.0,6686.666666666667,281.1764965679426
南京师范大学,数学与应用数学（师范）,7883.0,6969.0,7426.0,7426.0,7451.0,7406.0,7426.0,373.1389374839708
南京师范大学,汉语言,9697.0,10394.0,10744.0,10278.333333333334,10486.0,10498.0,10278.333333333334,435.1906351116587
南京师范大学,物理学（师范）,9697.0,9621.0,9659.0,9659.0,9633.0,9617.0,9659.0,31.026870075253587
南京师范大学,翻译,10376.0,10376.0,10376.0,10376.0,10333.0,10329.0,10376.0,0.0
南京师范大学,化学（师范）,11112.0,10394.0,10753.0,10753.0,10701.0,10704.0,10753.0,293.1222725530537
南京师范大学,地理信息科学,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
南京师范大学,数学类（含数学与应用数学（基地班）、信息与计算数学）,11112.0,11112.0,11112.0,11112.0,11052.0,11060.0,11112.0,0.0
南京师范大学,金融学,11842.0,11183.0,13374.0,12133.0,12754.0,12775.0,12133.0,917.8347708965196
南京师范大学,法学,11842.0,12922.0,13374.0,12712.666666666666,12983.0,13021.0,12712.666666666666,642.7136912256411
南京师范大学,经济学,12644.0,12922.0,16417.0,13994.333333333334,15319.0,15240.0,13994.333333333334,1716.839408784513
南京师范大学,英语,12644.0,12644.0,12644.0,12644.0,12550.0,12580.0,12644.0,0.0
南京师范大学,生物科学（师范）,12644.0,11183.0,11913.5,11913.5,11835.0,11855.0,11913.5,596.4507523677039
南京师范大学,外国语言文学类（含英语、俄语、德语、法语、日语、意大利语）,12644.0,12644.0,12644.0,12644.0,12550.0,12580.0,12644.0,0.0
南京师范大学,计算机科学与技术,13538.0,12922.0,16417.0,14292.333333333334,15413.0,15366.0,14292.333333333334,1523.268488773036
南京师范大学,国际经济与贸易,13538.0,14860.0,16417.0,14938.333333333334,15639.0,15648.0,14938.333333333334,1176.651274686864
南京师范大学,会计学,13538.0,13932.0,14326.0,13932.0,14028.0,14077.0,13932.0,321.6996528855241
南京师范大学,地理科学（师范）,13538.0,10394.0,11966.0,11966.0,11887.0,11907.0,11966.0,1283.5326252183854
南京师范大学,金融数学,13538.0,13873.0,15130.0,14180.333333333334,14587.0,14625.0,14180.333333333334,685.3010692794485
南京师范大学,软件工程（嵌入式培养）,13538.0,15901.0,14719.5,14719.5,14589.0,14642.0,14719.5,964.6907103661083
南京师范大学,物理学,14414.0,13873.0,14143.5,14143.5,14022.0,14069.0,14143.5,220.86232514094988
南京师范大学,电气工程及其自动化,14414.0,12922.0,14326.0,13887.333333333334,14009.0,14057.0,13887.333333333334,683.5385057836089
南京师范大学,汉语国际教育,14414.0,12922.0,16417.0,14584.333333333334,15512.0,15492.0,14584.333333333334,1431.9023088961837
南京师范大学,应用心理学,14414.0,12922.0,16417.0,14584.333333333334,15512.0,15492.0,14584.333333333334,1431.9023088961837
南京师范大学,新闻传播学类（含新闻学、广播电视学、广告学、网络与新媒体）,14414.0,14414.0,14414.0,14414.0,14288.0,14338.0,14414.0,0.0
南京师范大学,食品科学与工程,15347.0,15882.0,16417.0,15882.0,16022.0,16084.0,15882.0,436.82567079633344
南京师范大学,统计学,15347.0,13873.0,14326.0,14515.333333333334,14288.0,14334.0,14515.333333333334,616.4707796986181
南京师范大学,旅游管理,15347.0,15901.0,15351.0,15533.0,15297.0,15358.0,15533.0,260.2204193883844
南京师范大学,哲学,15347.0,14860.0,16417.0,15541.333333333334,15877.0,15924.0,15541.333333333334,650.3262429136796
南京师范大学,财务管理,15347.0,15882.0,16417.0,15882.0,16022.0,16084.0,15882.0,436.82567079633344
南京师范大学,计算机科学与技术（师范）,15347.0,13873.0,14610.0,14610.0,14481.0,14533.0,14610.0,601.7579801437341
南京师范大学,教育技术学（师范）,15347.0,13873.0,16205.0,15141.666666666666,15593.0,15629.0,15141.666666666666,963.0428627821067
南京师范大学,电子信息类（含电子信息工程、通信工程、光电信息科学与工程）,15347.0,15347.0,15347.0,15347.0,15208.0,15269.0,15347.0,0.0
南京师范大学,社会学类（含社会学、社会工作）,15347.0,15347.0,15347.0,15347.0,15208.0,15269.0,15347.0,0.0
南京师范大学,工商管理类（含市场营销、人力资源管理、工商管理）,15347.0,15347.0,15347.0,15347.0,15208.0,15269.0,15347.0,0.0
南京师范大学,行政管理,16274.0,15901.0,16087.5,16087.5,15940.0,16011.0,16087.5,152.2766123430209
南京师范大学,信息管理与信息系统,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,测绘工程,16274.0,15901.0,17575.0,16583.333333333332,16962.0,17011.0,16583.333333333332,717.558050303636
南京师范大学,生物工程,16274.0,14860.0,16417.0,15850.333333333334,16008.0,16069.0,15850.333333333334,702.7006633142039
南京师范大学,海洋资源开发技术,16274.0,14860.0,17378.0,16170.666666666666,16681.0,16714.0,16170.666666666666,1030.5627373214868
南京师范大学,自动化,16274.0,14860.0,16417.0,15850.333333333334,16008.0,16069.0,15850.333333333334,702.7006633142039
南京师范大学,劳动与社会保障,16274.0,16274.0,16274.0,16274.0,16125.0,16199.0,16274.0,0.0
南京师范大学,建筑环境与能源应用工程,16274.0,15901.0,16087.5,16087.5,15940.0,16011.0,16087.5,152.2766123430209
