school,major,2017,2018,2019,2020,rankEstimatedByPoly,rankEstimatedBySVR,avg,cov
华东政法大学,工商管理,813.0,889.0,965.0,889.0,931.0,926.0,889.0,62.053740150507174
华东政法大学,法学类,813.0,844.0,875.0,844.0,865.0,860.0,844.0,25.311394008759507
华东政法大学,公共管理类,897.0,873.5,850.0,873.5,869.0,864.0,873.5,19.187669651801563
华东政法大学,新闻传播学类,897.0,926.5,956.0,926.5,947.0,939.0,926.5,24.086649137367917
华东政法大学,英语,897.0,926.5,956.0,926.5,947.0,939.0,926.5,24.086649137367917
华东政法大学,德语,897.0,926.5,956.0,926.5,947.0,939.0,926.5,24.086649137367917
华东政法大学,日语,971.0,963.5,956.0,963.5,966.0,958.0,963.5,6.123724356957945
华东政法大学,翻译,971.0,963.5,956.0,963.5,966.0,958.0,963.5,6.123724356957945
燕山大学,法学,9331.0,10578.0,12621.0,10843.333333333334,11636.0,11627.0,10843.333333333334,1356.1775531085725
燕山大学,工商管理,12074.0,11589.0,14260.0,12641.0,13379.0,13396.0,12641.0,1161.8023354541283
首都师范大学,西班牙语,4279.0,4435.0,4118.0,4277.333333333333,4201.0,4186.0,4277.333333333333,129.42007400537042
首都师范大学,英语,4552.0,3894.0,3865.0,4103.666666666667,3995.0,3972.0,4103.666666666667,317.24053264921173
首都师范大学,德语,4552.0,4158.0,4701.0,4470.333333333333,4545.0,4579.0,4470.333333333333,229.0768915063722
首都师范大学,法语,4862.0,4435.0,4400.0,4565.666666666667,4487.0,4466.0,4565.666666666667,210.02592432575767
上海外国语大学,英语,134.0,134.0,134.0,134.0,143.0,140.0,134.0,0.0
上海外国语大学,德语,165.0,462.5,760.0,462.5,612.0,646.0,462.5,242.9077328259985
上海外国语大学,金融学,397.0,676.5,956.0,676.5,815.0,840.0,676.5,228.2107943692994
上海外国语大学,法语,397.0,578.5,760.0,578.5,672.0,684.0,578.5,148.19412943838228
上海外国语大学,国际经济与贸易,442.0,442.0,442.0,442.0,451.0,455.0,442.0,0.0
上海外国语大学,西班牙语,488.0,624.0,760.0,624.0,696.0,702.0,624.0,111.04353500617074
上海外国语大学,翻译,547.0,583.0,619.0,583.0,608.0,610.0,583.0,29.393876913398138
上海外国语大学,商务英语,547.0,653.5,760.0,653.5,712.0,714.0,653.5,86.95688586880283
上海外国语大学,会计学,547.0,698.5,850.0,698.5,777.0,783.0,698.5,123.69923201055049
上海外国语大学,日语,601.0,601.0,601.0,601.0,609.0,611.0,601.0,0.0
上海外国语大学,国际政治,669.0,812.5,956.0,812.5,886.0,888.0,812.5,117.16725936312868
上海外国语大学,汉语国际教育,669.0,759.5,850.0,759.5,809.0,808.0,759.5,73.89294057395921
上海外国语大学,意大利语,669.0,812.5,956.0,812.5,886.0,888.0,812.5,117.16725936312868
上海外国语大学,葡萄牙语,669.0,669.0,669.0,669.0,677.0,677.0,669.0,0.0
上海外国语大学,工商管理,669.0,669.0,669.0,669.0,677.0,677.0,669.0,0.0
上海外国语大学,网络与新媒体,669.0,669.0,669.0,669.0,677.0,677.0,669.0,0.0
上海外国语大学,俄语,669.0,669.0,669.0,669.0,677.0,677.0,669.0,0.0
上海外国语大学,新闻学,669.0,669.0,669.0,669.0,677.0,677.0,669.0,0.0
上海外国语大学,教育技术学,669.0,812.5,956.0,812.5,886.0,888.0,812.5,117.16725936312868
上海外国语大学,国际经济与贸易（日语国贸）,669.0,669.0,669.0,669.0,677.0,677.0,669.0,0.0
上海外国语大学,信息管理与信息系统,740.0,740.0,740.0,740.0,747.0,746.0,740.0,0.0
上海外国语大学,广告学,740.0,740.0,740.0,740.0,747.0,746.0,740.0,0.0
上海外国语大学,英语（教育）,740.0,740.0,740.0,740.0,747.0,746.0,740.0,0.0
上海外国语大学,法学,740.0,848.0,956.0,848.0,905.0,903.0,848.0,88.18163074019441
上海外国语大学,广播电视学,740.0,740.0,740.0,740.0,747.0,746.0,740.0,0.0
上海外国语大学,公共关系学,740.0,740.0,740.0,740.0,747.0,746.0,740.0,0.0
上海外国语大学,政治学与行政学,740.0,740.0,740.0,740.0,747.0,746.0,740.0,0.0
东华大学,工业设计,1755.0,2029.5,2304.0,2029.5,2146.0,2175.0,2029.5,224.12831146466078
东华大学,日语,1755.0,2029.5,2304.0,2029.5,2146.0,2175.0,2029.5,224.12831146466078
东华大学,经济与贸易类,1941.0,2122.5,2304.0,2122.5,2198.0,2217.0,2122.5,148.19412943838228
东华大学,英语,2443.0,2373.5,2304.0,2373.5,2339.0,2345.0,2373.5,56.74651237447696
东华大学,社会科学试验班（法学、行政管理）,2443.0,2443.0,2443.0,2443.0,2437.0,2451.0,2443.0,0.0
东华大学,新闻传播学类,2624.0,2386.0,2148.0,2386.0,2278.0,2279.0,2386.0,194.32618626079878
东华大学,经济管理试验班（含市场营销等6个专业）,2624.0,2624.0,2624.0,2624.0,2617.0,2637.0,2624.0,0.0
北京工商大学,外国语言文学类,8340.0,8340.0,8340.0,8340.0,8377.0,8314.0,8340.0,0.0
华东理工大学,会计学,1474.0,1474.0,1474.0,1474.0,1476.0,1461.0,1474.0,0.0
华东理工大学,国际经济与贸易,1755.0,1951.5,2148.0,1951.5,2035.0,2049.0,1951.5,160.44157815229818
华东理工大学,经济学类,1755.0,1880.5,2006.0,1880.5,1934.0,1936.0,1880.5,102.47032090642962
华东理工大学,法学,1941.0,2211.5,2482.0,2211.5,2323.0,2362.0,2211.5,220.86232514094988
华东理工大学,工业设计,1941.0,1941.0,1941.0,1941.0,1940.0,1934.0,1941.0,0.0
华东理工大学,风景园林,1941.0,2523.5,3106.0,2523.5,2758.0,2882.0,2523.5,475.6092583904004
华东理工大学,工商管理类,1941.0,2211.5,2482.0,2211.5,2323.0,2362.0,2211.5,220.86232514094988
华东理工大学,外国语言文学类,2443.0,2774.5,3106.0,2774.5,2903.0,2982.0,2774.5,270.6686165775412
华东理工大学,公共管理类,2624.0,2984.5,3345.0,2984.5,3122.0,3213.0,2984.5,294.34701742444526
同济大学,建筑学,216.0,113.0,164.5,164.5,174.0,172.0,164.5,42.04957391777789
同济大学,英语,295.0,295.0,295.0,295.0,304.0,307.0,295.0,0.0
同济大学,日语,360.0,312.0,336.0,336.0,345.0,349.0,336.0,19.595917942265423
同济大学,德语,360.0,221.0,290.5,290.5,300.0,303.0,290.5,56.74651237447696
同济大学,社会科学试验班（管理类）,360.0,360.0,360.0,360.0,369.0,373.0,360.0,0.0
